Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Ohio,Youngstown,S & A Computer Place,1,Lenovo,Legion 5,HDD,Larry,Bradshaw,+11444463949,jennifer60@example.net,Jason Gentry,Returns,3935,8493,Bank Transfer,162,2021-11-07,,0,8GB,576,Offline,Low,0,535,8192,1TB
North America,Ohio,Fairfield,ABC Computers,1,HP,Pavilion,HDD,Paul,Ross,+13049797213,hsnow@example.net,Eric James,New Sales,27121,30592,Finance,364,2021-08-23,2021-09-02,34237,16GB,778,Online,Low,0,16,30268,1TB
Africa,South Africa,Gauteng,Benjis Tech,2,Acer,ConceptD 5,SSD,Lori,Reynolds,+15471231788,andrea99@example.com,Patricia Jones,Returns,19574,24108,Finance,826,2022-04-06,,7894,8GB,833,Offline,High,0,163,21896,1TB
Africa,Kenya,Bungoma,LJ Computers,5,HP,Probook,HDD,Arthur,Jennings,+16451840318,jakemorris@example.net,Kenneth Moore,Returns,16775,21560,Bank Transfer,467,2023-11-20,2023-12-07,0,16GB,561,Online,High,0,329,17555,500GB
Africa,Nigeria,Jigawa,Mini Tech,8,Microsoft,Surface Neo,SSD,Thomas,Wood,+15534611758,davidjones@example.net,Randy Dillon,Repairs,17871,21988,Cash,524,2023-08-23,2023-09-01,0,4GB,527,Online,Low,4496,610,18354,1TB
Africa,South Africa,Limpopo,DEF Machines,10,Samsung,Notebook 9,HDD,Aaron,Young,+11793400787,jessica14@example.org,Jonathan Huang,Second-hand Sales,13631,17745,Cash,235,2021-12-24,2022-01-17,0,2GB,478,Online,High,0,426,15131,1TB
Africa,Tanzania,Kilimanjaro,LJ Computers,6,Apple,Apple Mac Pro,HDD,Kristen,Martin,+13771979836,drobinson@example.org,Mary Fisher,Repairs,5556,8643,Finance,783,2022-05-21,,49549,2GB,491,Offline,Low,2969,593,6084,1TB
North America,California,San Jose,XYZ Tech,9,MSI,GL65 Leopard,SSD,Betty,Robinson,+11720897048,fischerjenna@example.org,Joy Holt,Returns,16238,20028,Cash,298,2023-03-29,2023-04-08,0,16GB,526,Online,Low,0,206,18111,256GB
North America,Illinois,Bolingbrook,ABC Computers,4,Acer,Swift 3,HDD,Donald,Rhodes,+13882792409,uhoward@example.org,Ashley Jones,Returns,22704,25743,Bank Transfer,820,2021-06-20,,0,2GB,607,Offline,High,0,360,25240,256GB
Africa,Botswana,Kweneng,KyaSand Tech Gadgets,7,Dell,Latitude,SSD,Debra,Edwards,+12627713252,corteztara@example.org,Karen Hale,Second-hand Sales,8018,12309,Cash,22,2022-07-08,,0,4GB,544,Offline,High,0,431,12138,500GB
Africa,Nigeria,Nasarawa,GH PC Shop,5,HP,Spectre,SSD,Kerry,Miller,+13222464369,jeffreykim@example.net,Diana Waters,New Sales,4578,6664,Finance,393,2021-09-10,2021-09-26,27103,16GB,628,Online,Low,0,97,5787,256GB
North America,New York,Long Beach,Jacks Hardware,3,HP,Chromebook,HDD,Nicholas,Lee,+17451554285,davidwilson@example.com,Alan Newman,Repairs,25223,29908,Finance,70,2022-04-11,,28927,4GB,496,Offline,High,4683,648,29755,1TB
Africa,Nigeria,Akwa Ibom,GH PC Shop,5,Lenovo,ThinkPad X1 Yoga,HDD,Greg,Rosales,+16337219619,mosleyemily@example.com,Brian Gonzales,Returns,26727,29942,Cash,264,2023-08-21,2023-09-14,0,8GB,735,Online,Medium,0,631,28878,500GB
Africa,Tanzania,Shinyanga,Jacks Hardware,1,Lenovo,IdeaPad 5,SSD,Thomas,Carter,+15956884669,jrodriguez@example.net,Aaron Taylor,New Sales,27743,30951,Cash,26,2021-09-29,,0,4GB,669,Offline,Low,0,994,30188,1TB
North America,New York,Albany,A & A PCs,4,Lenovo,ThinkPad X1 Yoga,SSD,Tiffany,Ford,+14299512792,powellsusan@example.net,Alan Newman,Repairs,20972,24948,Bank Transfer,318,2023-06-16,2023-06-17,0,4GB,590,Online,High,1874,399,22960,1TB
Africa,Egypt,Ismailia,Greens Laptops and PCs,5,Dell,Vostro,HDD,Leroy,Roberts,+12403527212,christopher20@example.net,Michael Gibson,Second-hand Sales,15454,20024,Cash,851,2022-07-10,,0,8GB,795,Offline,Low,0,131,19215,1TB
Africa,Tanzania,Rukwa,KyaSand Tech Gadgets,3,Acer,Aspire E 15,SSD,Patricia,Thomas,+17408627152,tonyastone@example.org,Mitchell Atkins,Returns,28041,30417,Bank Transfer,623,2022-03-11,,0,2GB,837,Offline,High,0,804,28146,256GB
Africa,Kenya,Murang’a,CK Tech Store,3,Microsoft,Surface Pro,SSD,William,Morrow,+13444516478,jennifer36@example.org,Christopher Santos,Returns,12099,15022,Cash,596,2023-09-02,2023-09-13,0,8GB,682,Online,Low,0,931,12268,500GB
North America,Georgia,Johns Creek,Western International PCs,1,Toshiba,Satellite,SSD,Emily,Hill,+19041142632,christopherstanton@example.net,Rebecca Brown,Returns,29712,33252,Cash,985,2024-01-04,2024-01-26,0,16GB,761,Online,Low,0,252,30484,256GB
Africa,Kenya,Nakuru,DEF Machines,3,Microsoft,Surface Studio,HDD,Andrea,Pugh,+19457853002,jessica39@example.net,Amy Johnson,Returns,29550,32632,Bank Transfer,679,2022-04-25,2022-05-11,0,16GB,480,Online,Low,0,236,31244,1TB
North America,Florida,Port St. Lucie,ABC Computers,10,Apple,Apple iMac,HDD,Brian,Warren,+10968239519,justinfriedman@example.org,Richard Patterson,New Sales,27198,31640,Finance,498,2023-04-16,2023-04-25,24251,4GB,516,Online,Low,0,690,27587,256GB
Africa,Egypt,Faiyum,Frankies Hardware and Software,6,Samsung,Notebook 9 Pen,HDD,Donald,Matthews,+10682484604,nathaniel34@example.net,Evan Scott,Returns,22972,25605,Cash,364,2024-02-24,2024-02-25,0,4GB,656,Online,Medium,0,739,25030,500GB
Africa,Ghana,Upper East,LJ Computers,7,MSI,P65 Creator,HDD,Wendy,Smith,+15050898693,mcintyrepaul@example.org,Jessica Morgan,New Sales,13233,16765,Cash,539,2022-11-05,,0,2GB,675,Offline,Low,0,666,16627,256GB
North America,Ohio,Fairfield,Ricks Computers,4,Microsoft,Surface Go,HDD,David,James,+18889288491,markgarcia@example.org,Eric James,Repairs,13672,17672,Bank Transfer,533,2023-02-08,2023-02-23,0,16GB,685,Online,Medium,3814,440,14052,500GB
Africa,Morocco,Larache,GH PC Shop,9,Dell,Venue,HDD,Ashley,Smith,+17082241086,dsmith@example.net,Gina Day,Repairs,16824,20453,Finance,807,2021-04-14,2021-04-22,31540,2GB,651,Online,Medium,3813,761,16878,256GB
North America,Florida,Miramar,Jacks Hardware,10,Asus,VivoBook S14,HDD,Caitlyn,Underwood,+17772148188,nunezsara@example.com,Alexis Murray,Returns,17472,20962,Bank Transfer,464,2023-03-15,,0,8GB,848,Offline,High,0,861,19956,500GB
Africa,Ethiopia,Oromia,CK Tech Store,8,Samsung,Chromebook 4,HDD,Megan,Rice,+11208561547,torreskatherine@example.com,Rachel Guerrero,Returns,28063,31150,Cash,689,2023-08-16,2023-09-04,0,8GB,828,Online,Low,0,813,29559,256GB
North America,Ohio,Springfield,Western International PCs,7,Microsoft,Surface Duo,HDD,Lee,Simon,+15884324160,patriciascott@example.org,Max Mccann,New Sales,12408,17356,Cash,11,2023-03-01,,0,2GB,425,Offline,Low,0,217,16818,500GB
North America,Michigan,Ann Arbor,Ricks Computers,3,Toshiba,Chromebook,SSD,Lawrence,Baker,+15200083935,christina68@example.net,Allen Juarez,Repairs,13496,17551,Finance,533,2022-03-24,,21477,4GB,489,Offline,Low,1304,164,16446,1TB
Africa,Nigeria,Plateau,DEF Machines,4,Toshiba,Libretto,SSD,Joanne,Wallace,+15566916593,abigail53@example.net,Randy Dillon,Returns,3507,8118,Cash,815,2022-09-10,,0,16GB,622,Offline,High,0,552,7762,1TB
North America,Texas,Denton,GH PC Shop,4,Microsoft,Surface Pro,HDD,Christina,Wilkinson,,langjacob@example.com,Lauren Morales,Returns,8436,10538,Finance,138,2022-11-11,,31021,2GB,418,Offline,Medium,0,382,8627,256GB
North America,Texas,Garland,S & A Computer Place,2,Acer,Swift 3,SSD,Ralph,Howard,+11080217644,lauriepitts@example.org,Courtney Morgan,Repairs,21560,25584,Finance,743,2021-12-25,2022-01-08,38124,8GB,411,Online,High,4603,705,22502,1TB
Africa,Botswana,North-East,Mini Tech,9,Dell,G Series,HDD,Timothy,Jackson,+18975332959,amanda51@example.net,Madison Davis,Returns,29665,32596,Bank Transfer,594,2023-02-27,2023-03-15,0,8GB,802,Online,Medium,0,333,31468,500GB
Africa,Angola,Huila,GH PC Shop,4,Asus,TUF Gaming A15,SSD,Kathleen,Young,+19932199294,caitlinmorris@example.org,Brian Clarke,New Sales,14861,18572,Cash,686,2021-03-16,2021-04-12,0,4GB,790,Online,Medium,0,213,16546,256GB
North America,Florida,West Palm Beach,Mini Tech,9,MSI,GF63 Thin,HDD,Jason,Hall,+11211414569,ccole@example.net,Tanya Mcclure,Repairs,3751,6133,Cash,495,2023-04-12,,0,8GB,562,Offline,High,1602,542,5895,256GB
Africa,South Africa,Western Cape,KyaSand Tech Gadgets,1,Samsung,Notebook 5,HDD,Kendra,Jones,+15857728563,tfox@example.com,Mary Nelson,Returns,18603,21479,Finance,7,2021-11-18,,8601,8GB,422,Offline,Low,0,792,19996,1TB
Africa,Tanzania,Kilimanjaro,GH PC Shop,8,Samsung,Notebook 9 Pro,SSD,Kevin,Fleming,+19209404715,natasha13@example.org,Corey Rasmussen,New Sales,11502,16154,Bank Transfer,25,2023-07-28,,0,4GB,847,Offline,Medium,0,965,13708,1TB
North America,Michigan,Battle Creek,S & A Computer Place,7,HP,Spectre,SSD,Melissa,Gonzalez,+14360292568,jserrano@example.com,Michael Gomez,Returns,20656,23951,Finance,183,2023-03-29,,14990,2GB,741,Offline,Medium,0,735,23672,1TB
Africa,Egypt,Sharqia,GHI Machines,4,Apple,Apple MacBook Air,SSD,Lynn,Morris,+18576245627,watkinsdeborah@example.com,Diana Owens,Returns,4836,9099,Cash,933,2024-03-08,2024-03-12,0,4GB,819,Online,Low,0,947,8896,500GB
North America,New York,Utica,Frankies Hardware and Software,2,HP,Stream,SSD,Barbara,Norris,+11984489999,levyadam@example.org,Gabrielle Patterson,Returns,4788,9298,Cash,99,2022-04-26,2022-04-30,0,2GB,835,Online,High,0,645,6654,1TB
Africa,Botswana,Central,DEF Machines,5,MSI,P65 Creator,SSD,Jeffrey,Harris,,victoriayoung@example.org,Lisa Williams,Second-hand Sales,24888,27887,Finance,372,2021-06-27,,19364,4GB,817,Offline,Low,0,16,26304,500GB
Africa,Ethiopia,Gambela,DEF Machines,9,Lenovo,ThinkCentre M920 Tiny,HDD,Gary,Russell,+18928239966,feliciamcbride@example.org,Kenneth Herring,New Sales,20283,24528,Cash,724,2022-09-03,2022-09-12,0,2GB,538,Online,High,0,818,23625,1TB
North America,Texas,McKinney,Greens Laptops and PCs,4,Microsoft,Surface Hub,HDD,David,Sanchez,+15124614674,timmills@example.net,Melanie Taylor,Second-hand Sales,17594,21990,Bank Transfer,834,2024-01-21,,0,2GB,681,Offline,High,0,474,18365,500GB
North America,Texas,Midland,Benjis Tech,3,HP,Elitebook,HDD,Rachel,Cruz,+17134177280,sarahlewis@example.com,Diana Rodriguez,Returns,4373,7730,Cash,45,2022-12-12,,0,16GB,427,Offline,Low,0,161,5929,500GB
North America,Georgia,East Point,A & A PCs,2,Microsoft,Surface Duo,SSD,Daniel,Evans,+13836241890,elizabeth10@example.com,Joe Thomas,Returns,27063,29520,Cash,19,2021-03-31,2021-04-15,0,8GB,494,Online,Low,0,709,27700,1TB
North America,Ohio,Fairfield,A & A PCs,5,Acer,ConceptD 5,HDD,Melissa,Wilson,+18186290971,berrythomas@example.org,Jason Gentry,Returns,14178,16483,Finance,626,2021-09-18,,45127,8GB,494,Offline,Low,0,319,15554,500GB
Africa,Nigeria,Kaduna,Benjis Tech,10,Toshiba,Dynabook,SSD,Vickie,Carter,+14939850739,vwright@example.com,Pamela Morgan,Second-hand Sales,8166,11203,Bank Transfer,2,2024-01-10,,0,8GB,801,Offline,Low,0,805,8600,256GB
North America,New York,Syracuse,Western International PCs,2,Toshiba,Chromebook,SSD,Timothy,Evans,+13358325596,yharrington@example.net,Victoria Hodges,Repairs,15720,19369,Finance,82,2021-05-19,2021-06-10,34519,4GB,817,Online,Low,3035,628,19256,1TB
Africa,Nigeria,Kano,Ricks Computers,6,MSI,GP65 Leopard,SSD,Matthew,Lewis,+18676418816,ginacoleman@example.org,Mary Shaw,Second-hand Sales,15539,20453,Cash,845,2022-03-18,2022-03-25,0,8GB,503,Online,High,0,147,20412,500GB
Africa,South Africa,Eastern Cape,LJ Computers,1,Asus,ZenBook UX425,HDD,James,Thomas,+19392888938,christinaroberts@example.net,Mrs. Barbara Davenport,Second-hand Sales,19874,23603,Finance,810,2023-07-15,,27977,4GB,777,Offline,Medium,0,936,22695,1TB
Africa,Egypt,New Valley,Western International PCs,3,Lenovo,ThinkPad P15s,HDD,James,Ross,+10734202961,todd20@example.net,Michael Gibson,Second-hand Sales,18908,22540,Cash,182,2023-03-15,2023-03-29,0,2GB,835,Online,Low,0,535,20509,256GB
Africa,Angola,Uige,Benjis Tech,9,Lenovo,ThinkPad P15s,SSD,Angelica,Cook,+16929884824,patrick66@example.com,Kimberly Duncan,New Sales,27059,29386,Cash,82,2023-09-05,2023-09-18,0,16GB,640,Online,Low,0,699,27197,500GB
North America,New York,Long Island City,XYZ Tech,8,MSI,GS75 Stealth,SSD,Gina,Murillo,+11730217374,austin44@example.net,Victoria Hodges,Returns,5222,9594,Cash,102,2023-03-16,2023-03-19,0,4GB,412,Online,Medium,0,865,6178,1TB
North America,North Carolina,Cary,XYZ Tech,5,Toshiba,Dynabook,HDD,Heidi,Hanson,+14231790199,ochoajason@example.net,Brady Walton,Second-hand Sales,8526,12989,Finance,186,2023-09-03,2023-10-01,36195,16GB,456,Online,Medium,0,602,10805,1TB
Africa,Ethiopia,Tigray,CK Tech Store,7,Dell,Inspiron,SSD,Brian,Lee,+16535954849,wbarker@example.net,Alexa Hopkins,Repairs,22298,24801,Cash,277,2022-05-28,2022-06-13,0,4GB,706,Online,Medium,1841,290,22941,256GB
Africa,Botswana,South-East,LJ Computers,10,Apple,Apple Power Mac G5,HDD,Amanda,Smith,+11020026321,osanchez@example.com,Susan Nelson,Second-hand Sales,15585,19749,Cash,894,2023-07-29,2023-08-11,0,4GB,732,Online,High,0,454,17367,256GB
Africa,Angola,Bengo,ABC Computers,2,Microsoft,Surface Duo,HDD,Jennifer,Guerrero,+12049168709,martinbrandi@example.org,James Thornton,New Sales,13448,16411,Bank Transfer,904,2023-02-06,,0,16GB,552,Offline,Low,0,141,15986,256GB
Africa,Morocco,Beni Mellal,ABC Computers,7,Dell,XPS,HDD,Renee,Gibson,+18602916951,jenkinslinda@example.net,Adam Schwartz,Repairs,5555,7578,Cash,267,2023-09-14,,0,2GB,762,Offline,Low,4264,885,7146,500GB
Africa,Ghana,Upper West,XYZ Tech,5,Microsoft,Surface Go,HDD,Travis,Williams,+13051365359,nguyenamy@example.org,Kevin Lee,Repairs,5198,10049,Cash,204,2021-05-26,,0,4GB,625,Offline,High,1063,174,9419,1TB
North America,Ohio,Hamilton,LJ Computers,3,Apple,Apple Power Mac G5,HDD,Kim,Farley,+15856854099,westkenneth@example.net,Molly Johns,Returns,28447,30837,Cash,589,2024-02-15,,0,2GB,801,Offline,Low,0,755,28830,500GB
North America,New York,Buffalo,GHI Machines,7,Acer,Swift 3,HDD,Sara,Ward,+17900307819,paul17@example.net,Alan Newman,New Sales,12548,15357,Finance,656,2021-07-12,2021-08-09,47036,16GB,517,Online,Medium,0,350,15057,500GB
North America,Michigan,Flint,Western International PCs,6,Lenovo,IdeaPad 5,SSD,Sarah,Gomez,+16700511961,toddmitchell@example.net,Kevin Padilla,Returns,20395,22401,Finance,985,2023-08-26,2023-09-20,46516,4GB,426,Online,Low,0,508,20741,500GB
North America,Michigan,Novi,DEF Machines,3,HP,Probook,HDD,Justin,Santos,+12639165185,smorgan@example.com,Kevin Padilla,Returns,8091,10206,Finance,122,2021-05-11,2021-05-20,9267,2GB,597,Online,Low,0,79,9535,500GB
North America,California,Bakersfield,Ricks Computers,10,HP,Pavilion,HDD,Dawn,Walls,+17661734247,ymartin@example.com,Alyssa Martinez,New Sales,9346,12512,Finance,750,2023-08-25,,7334,16GB,803,Offline,High,0,267,9671,500GB
North America,Ohio,Dayton,A & A PCs,7,Lenovo,ThinkPad P15s,HDD,Gwendolyn,Edwards,+13132137964,gillmaria@example.com,Mr. Nathan Douglas,Second-hand Sales,18094,22551,Bank Transfer,972,2022-09-13,,0,16GB,811,Offline,High,0,293,19781,500GB
Africa,Kenya,Mombasa,LJ Computers,5,MSI,GS75 Stealth,SSD,Joseph,Weaver,+18444369993,mccallsarah@example.org,Kenneth Moore,Returns,20078,23409,Finance,491,2022-06-02,2022-07-02,33661,2GB,720,Online,Medium,0,125,21844,1TB
Africa,Tanzania,Pemba Kaskazini,Mini Tech,4,MSI,GP65 Leopard,HDD,Garrett,Reilly,+19186380259,acastaneda@example.org,Corey Rasmussen,Repairs,14122,18327,Finance,864,2022-10-22,,18395,16GB,638,Offline,High,3686,539,16404,1TB
North America,Georgia,Columbus,Jacks Hardware,5,Acer,Spin 5,HDD,Kevin,Moss,+19050315066,david90@example.com,Chris Jones,Second-hand Sales,9870,14203,Cash,235,2022-01-17,,0,16GB,839,Offline,Medium,0,396,14033,1TB
North America,Texas,Houston,ABC Computers,3,Dell,G Series,HDD,April,Green,+16087837323,dbrewer@example.com,Lori Washington,Returns,4064,8142,Bank Transfer,881,2021-12-19,,0,2GB,475,Offline,Low,0,834,7965,256GB
Africa,Morocco,Driouch,Mini Tech,8,Acer,Spin 5,SSD,Michael,Blair,+18349574607,mariaperry@example.net,Brian Johnson,Returns,28124,32858,Bank Transfer,640,2023-10-22,,0,16GB,492,Offline,Low,0,262,29725,256GB
Africa,Ghana,Upper East,DEF Machines,1,Lenovo,IdeaCentre AIO 3,SSD,Jessica,Alvarez,+10236237026,froberts@example.com,Jonathan Miller,Second-hand Sales,13899,16650,Finance,518,2022-01-28,2022-01-29,2326,16GB,663,Online,Medium,0,192,14314,256GB
Africa,South Africa,Western Cape,LJ Computers,7,Lenovo,ThinkPad X1 Yoga,SSD,David,Rodriguez,+13823954736,burchalice@example.net,Jonathan Huang,New Sales,17118,21543,Bank Transfer,299,2023-02-26,2023-02-28,0,16GB,450,Online,Low,0,810,20823,500GB
North America,Ohio,Elyria,A & A PCs,5,Apple,Apple Mac Mini,HDD,Helen,Walter,+12867917930,laura03@example.com,Mr. Nathan Douglas,Repairs,6845,11146,Finance,534,2023-06-14,2023-07-12,13728,4GB,833,Online,Low,1041,933,6945,256GB
North America,Illinois,Naperville,LJ Computers,9,Microsoft,Surface Go,HDD,Laura,Cardenas,+12159450484,shaun99@example.net,Curtis Tucker,Repairs,8912,12364,Cash,483,2022-02-06,2022-02-08,0,2GB,675,Online,Medium,1467,227,10987,1TB
Africa,Morocco,Taourirt,Western International PCs,7,Asus,ROG Strix Scar III,HDD,Aaron,Conway,+14378917392,karen77@example.org,Kelly Mitchell,Returns,9724,14572,Bank Transfer,97,2023-06-15,2023-06-30,0,16GB,418,Online,Low,0,401,11238,1TB
North America,North Carolina,Durham,Mini Tech,6,MSI,P65 Creator,SSD,Lisa,Henry,+17953398821,schroederpamela@example.org,Calvin Rich,Second-hand Sales,19441,23426,Bank Transfer,888,2023-07-31,,0,2GB,593,Offline,Low,0,884,21449,1TB
North America,New York,New Rochelle,Ricks Computers,7,Apple,Apple Macintosh Classic,SSD,Sonia,Price,+13621137172,morgangriffin@example.org,Kelsey Olson,Second-hand Sales,10833,15714,Bank Transfer,352,2021-07-20,2021-08-13,0,4GB,778,Online,High,0,793,11334,1TB
North America,North Carolina,Mooresville,DEF Machines,8,MSI,GS75 Stealth,HDD,Kimberly,Bennett,+10166671514,thomaswatson@example.org,Calvin Rich,Repairs,12520,15659,Bank Transfer,429,2022-09-07,,0,2GB,403,Offline,High,1047,129,13140,500GB
North America,Texas,Brownsville,KyaSand Tech Gadgets,7,HP,Probook,SSD,Heather,Poole,+13600998028,debra11@example.com,Michael Koch,Returns,8900,12858,Finance,840,2022-11-02,2022-11-14,9058,4GB,801,Online,Low,0,111,11288,1TB
Africa,Egypt,Dakahlia,KyaSand Tech Gadgets,5,Dell,Vostro,HDD,Cindy,Reynolds,+15962720949,justinwoods@example.net,Evan Scott,Repairs,19037,23366,Cash,457,2023-06-28,2023-07-11,0,2GB,604,Online,High,4523,551,20691,500GB
North America,California,Riverside,Western International PCs,4,Microsoft,Surface Pro,SSD,Thomas,Hancock,+12295819137,kaiseraaron@example.org,Amber Montgomery,Second-hand Sales,13752,18231,Bank Transfer,923,2021-04-19,2021-05-14,0,16GB,661,Online,Low,0,702,15107,256GB
Africa,Tanzania,Mwanza,S & A Computer Place,5,Dell,Alienware,HDD,Natalie,Erickson,+11471674691,maria46@example.org,Alicia Evans,New Sales,13690,16514,Cash,652,2023-10-24,2023-11-03,0,4GB,818,Online,Low,0,229,13942,1TB
Africa,Botswana,Kgalagadi,GHI Machines,7,Lenovo,Legion 5,SSD,Helen,Young,,mccarthyamanda@example.com,Heather Singleton,New Sales,22667,27109,Bank Transfer,637,2023-05-16,2023-05-27,0,2GB,483,Online,Medium,0,827,24359,256GB
Africa,Ghana,Northern,Benjis Tech,2,HP,Chromebook,HDD,Henry,Sullivan,+11339930223,steeleelizabeth@example.net,Jessica Morgan,Second-hand Sales,25922,30616,Finance,282,2023-02-08,2023-03-08,38897,8GB,487,Online,Medium,0,858,28520,500GB
Africa,Kenya,Homa Bay,Greens Laptops and PCs,6,Toshiba,Libretto,SSD,Mark,Thomas,+19164594659,robertsonrenee@example.net,Jeffrey Cook,Returns,6365,9624,Bank Transfer,316,2023-12-30,2024-01-08,0,2GB,658,Online,High,0,845,6496,1TB
North America,Texas,Frisco,GH PC Shop,9,Microsoft,Surface Laptop,SSD,Randall,Robinson,+10552950058,thomas67@example.org,Ashley Wright,Repairs,14536,19436,Cash,438,2021-04-03,,0,8GB,573,Offline,Low,3294,230,17204,500GB
Africa,Kenya,Kirinyaga,S & A Computer Place,4,Acer,Aspire 5,SSD,Adam,Bautista,+15229083652,bridgesjames@example.com,David Ellis,New Sales,11944,15006,Finance,509,2022-11-17,2022-12-06,4995,4GB,835,Online,High,0,96,13137,256GB
Africa,Tanzania,Iringa,Frankies Hardware and Software,3,Microsoft,Surface Hub,HDD,Brian,Walsh,+18662590327,cleblanc@example.net,Tara Price,Repairs,28040,31941,Bank Transfer,669,2022-12-31,,0,4GB,492,Offline,Medium,2080,568,31369,500GB
Africa,Kenya,Migori,LJ Computers,7,Lenovo,ThinkPad X1 Yoga,HDD,John,Clark,+16596971562,markvance@example.com,Jason Robinson,New Sales,5555,8801,Bank Transfer,690,2023-05-01,,0,4GB,760,Offline,Medium,0,32,5881,500GB
Africa,South Africa,North West,Jacks Hardware,1,Dell,OptiPlex,HDD,Jennifer,Deleon,+16373646738,erictrujillo@example.net,Pamela Zavala,Returns,14086,17065,Bank Transfer,339,2021-09-03,2021-09-05,0,16GB,444,Online,Low,0,997,15985,256GB
Africa,Morocco,Ouezzane,Ricks Computers,7,Asus,VivoBook S14,SSD,Daniel,Carroll,+12781937766,qgarcia@example.com,John Whitney,New Sales,10656,12959,Finance,362,2024-01-09,2024-01-23,23415,8GB,469,Online,Medium,0,306,12281,1TB
North America,Florida,Miramar,Benjis Tech,1,Dell,XPS,SSD,Matthew,Shaw,+19402600968,gjackson@example.org,Mary Kidd,Repairs,26504,31288,Finance,240,2023-05-29,,42016,16GB,471,Offline,Medium,3796,841,26869,500GB
Africa,Ethiopia,Dire Dawa,DEF Machines,6,Toshiba,Libretto,HDD,Christopher,Andrews,+19107716951,hodgecurtis@example.com,Michael Summers,Repairs,10196,13465,Finance,117,2023-01-30,2023-02-06,296,8GB,550,Online,Low,1885,102,10635,1TB
Africa,Nigeria,Plateau,Greens Laptops and PCs,2,Samsung,Notebook Flash,HDD,Julie,Freeman,+12322323252,jennifer58@example.com,Lisa Morgan,New Sales,5271,8268,Bank Transfer,785,2023-10-17,,0,16GB,548,Offline,Medium,0,902,7393,1TB
Africa,Morocco,Sefrou,Mini Tech,7,MSI,GL65 Leopard,SSD,Kelsey,Simmons,+17073193704,teresa62@example.com,Adam Schwartz,Returns,17716,20262,Bank Transfer,677,2021-09-08,,0,8GB,421,Offline,High,0,473,18885,1TB
Africa,Morocco,Inezgane-Ait Melloul,Western International PCs,6,MSI,GS75 Stealth,SSD,Renee,Carter,+10264115901,kyle97@example.com,John Whitney,Returns,23490,28117,Finance,758,2023-09-09,2023-10-04,34536,2GB,403,Online,Low,0,330,25382,256GB
North America,Ohio,Beavercreek,ABC Computers,7,Acer,Chromebook Spin 311,SSD,Cheyenne,Holt,+13958764302,ryan96@example.net,Eric James,Second-hand Sales,18435,20796,Bank Transfer,863,2021-12-31,2022-01-22,0,4GB,443,Online,Medium,0,480,20320,256GB
Africa,Kenya,Kwale,Western International PCs,4,HP,Envy,HDD,Pamela,Allen,+17134672104,perryshawn@example.org,Cassandra Mcmillan,Second-hand Sales,15669,18168,Bank Transfer,225,2022-03-05,2022-03-12,0,8GB,498,Online,Medium,0,808,16316,1TB
North America,Texas,Lubbock,Ricks Computers,5,Acer,Spin 5,HDD,Maria,Carpenter,+13549584571,ccastaneda@example.com,Lauren Morales,Repairs,6937,11134,Cash,99,2021-03-29,,0,2GB,438,Offline,High,2875,900,8566,500GB
Africa,Tanzania,Mwanza,LJ Computers,5,MSI,Modern 15,HDD,Shannon,Gardner,+11130658611,justin18@example.net,Alicia Evans,Repairs,26132,30801,Cash,813,2022-07-01,,0,8GB,525,Offline,Low,3631,820,28229,256GB
Africa,Kenya,Mombasa,Jacks Hardware,5,Samsung,Notebook Odyssey,SSD,Richard,House,+19926363553,lcasey@example.org,Misty Green,Returns,7915,12509,Finance,959,2023-07-05,,21463,4GB,698,Offline,Medium,0,460,10163,256GB
North America,Pennsylvania,Hazleton,Benjis Tech,9,HP,Omen,SSD,Billy,Perkins,+16003479009,fmyers@example.org,Beth James,Second-hand Sales,8321,10456,Finance,85,2024-01-28,2024-02-05,33330,16GB,403,Online,High,0,860,8568,1TB
North America,North Carolina,Greensboro,XYZ Tech,1,Toshiba,Libretto,SSD,Elizabeth,Mejia,+13447931032,ccontreras@example.net,Tony Valenzuela,Returns,19396,21677,Finance,726,2021-09-18,2021-10-17,18227,16GB,572,Online,Medium,0,318,20070,500GB
North America,Illinois,Waukegan,XYZ Tech,4,Asus,ExpertBook B9,HDD,Cameron,Velez,+16365963326,tjames@example.org,Jeremy Thomas,Returns,15267,19217,Bank Transfer,615,2023-06-08,,0,4GB,518,Offline,Low,0,117,16513,256GB
North America,Michigan,Dearborn,GH PC Shop,1,Acer,Predator Triton 500,SSD,Marissa,Watkins,+10498193154,brooke86@example.com,Michael Gomez,Returns,8453,12100,Finance,827,2023-04-03,2023-04-30,22977,16GB,531,Online,Low,0,734,11535,1TB
North America,North Carolina,Greensboro,CK Tech Store,9,Lenovo,ThinkCentre M920 Tiny,HDD,Jasmine,Morgan,+19386665102,serranoleslie@example.net,Morgan Moore,Second-hand Sales,22368,24648,Finance,567,2022-08-01,,33779,2GB,618,Offline,Medium,0,369,22499,500GB
